Color,Price
Yellow,1595
Blue,1488
White,1469
Green,1481
White,1803
Orange,1249
Red,1402
Green,1279
White,1671
Green,1095
Red,1072
Orange,1725
Orange,1284
Green,1916
Red,1714
Yellow,1814
Green,1347
Blue,1855
Orange,1910
Blue,1137
Yellow,1292
White,1542
White,1086
Yellow,1555
White,1373
Orange,1320
Green,1795
White,1925
Yellow,1155
Orange,1383
Red,1306
Yellow,1688
Orange,1561
Blue,1075
White,1778
Green,1811
Orange,1280
Green,1538
Blue,1573
Blue,1024
Green,1288
Orange,1599
White,1178
Blue,1544
Blue,1214
Yellow,1321
Green,1150
White,1781
Blue,1534
Blue,1302
Orange,1491
Orange,1936
Yellow,1064
White,1174
White,1383
Yellow,1377
Red,1872
Red,1019
Orange,1075
Red,1788
White,1015
Green,1153
Blue,1539
Orange,1721
Yellow,1752
Red,1909
White,1489
White,1441
Red,1034
Red,1936
Orange,1087
Red,1969
Red,1979
Green,1945
Yellow,1661
Orange,1254
Blue,1563
Red,1152
Yellow,1123
Blue,1113
Yellow,1953
Green,1867
White,1102
Blue,1499
Green,1931
Blue,1777
Green,1209
Yellow,1121
Green,1873
White,1699
White,1939
Yellow,1331
White,1480
White,1081
White,1378
Green,1393
White,1202
Orange,1388
White,1358
